feature_set,pdbid,membership,n_residues,pcc,spearman,rmse_z
residue_position,1ABA,medium,87,-0.09324461629643921,-0.4139426801101389,1.1225121735590424
residue_position,1AHO,large,64,-0.06709684525856657,-0.10510651450453391,1.0655178959952376
residue_position,1AIE,small,31,0.6930197178123179,0.5100806451612904,0.7246276573560253
residue_position,1AKG,small,16,0.10181958440214417,-0.04120678083936822,1.0814368161891332
residue_position,1ATG,large,231,-0.01849343425000125,-0.012758287167213158,1.0405889510545479
residue_position,1BGF,365_only,124,0.5220937994464987,-0.09008753834184344,0.8649150358394161
residue_position,1BX7,small,51,0.741535577596988,0.26533936651583706,0.7089168431785894
residue_position,1BYI,large,224,0.47854018675236026,0.13918439102105856,0.8979683790659432
residue_position,1CYO,medium,88,0.7478237826557319,0.22378281283951082,0.7146053682041221
residue_position,1DF4,365_only,57,0.5726455027273603,0.6600985221674879,0.8283357708782529
residue_position,1E5K,large,188,0.19955701037726195,-0.03045126055535373,0.9855612681615455
residue_position,1ES5,365_only,260,0.15562487583373813,0.06833584363248618,0.9918328321929393
residue_position,1ETL,small,12,0.26349985528195574,0.3902231188777014,0.9672553364026186
residue_position,1ETM,small,12,0.05149121324392711,0.15733406196654307,1.0384946204870742
residue_position,1ETN,small,12,0.25827979141878993,0.3806573549179719,0.969147721302775
residue_position,1EW4,large,106,0.3193519625810303,0.029322705957657836,0.9481368098902551
residue_position,1F8R,365_only,1932,-0.07452756252373982,-0.12844869727250346,1.0865059747859367
residue_position,1FF4,small,65,-0.04562998548403514,0.1093761951135563,1.0928630755692532
residue_position,1FK5,medium,93,0.19636500524413905,0.41330921165651824,0.9948454509564876
residue_position,1GCO,365_only,1044,-0.050709000407377025,-0.16637136247945922,1.0621474333150658
residue_position,1GK7,small,39,0.4756385187969543,-0.0053646439665849446,0.8853014952137261
residue_position,1GVD,small,52,0.637352683359497,0.6939873216666949,0.7771343527737752
residue_position,1GXU,medium,88,0.5654341907983071,0.1030093560904388,0.8366652906256293
residue_position,1H6V,365_only,2927,0.03267827228927892,-0.06314477770765575,1.107805017797676
residue_position,1HJE,small,13,0.9076699730556277,0.8076923076923077,0.6286635785590302
residue_position,1I71,medium,83,0.3710975381380778,-0.11058926020653864,0.9286397111576115
residue_position,1IDP,365_only,441,0.17644498615954818,0.14885095819611766,0.9926867602453026
residue_position,1IFR,large,113,0.38747674044203745,0.3950087955353687,0.9293187067439437
