protocol,mode,protein_id,cluster_id,fold,n_residues,pcc,spearman,rmse_z
cluster,graph+center0,1ABA,cluster_1ABA,4,87,0.64652106120374,0.7237526769335009,0.7659533577254954
cluster,graph+center0,1AHO,cluster_1AHO,3,64,0.6656311017621556,0.7413775341320674,0.7575800702095017
cluster,graph+center0,1AIE,cluster_1AIE,4,31,0.6896972523540101,0.39395161290322583,0.7330072637043811
cluster,graph+center0,1AKG,cluster_1AKG,2,16,0.4599213341412722,0.6813835545938387,0.8918037600374658
cluster,graph+center0,1ATG,cluster_1ATG,5,231,0.5235273250459643,0.5686535553131917,0.8586705695634045
cluster,graph+center0,1BGF,cluster_1BGF,2,124,0.5937832716774845,0.4417766993767543,0.8061479812990474
cluster,graph+center0,1BX7,cluster_1BX7,2,51,0.5683854685668894,0.22588235294117648,0.8708213692492662
cluster,graph+center0,1BYI,cluster_1BYI,5,224,0.5273531172465029,0.6057809319506153,0.8560235558497774
cluster,graph+center0,1CCR,cluster_1CCR,5,111,0.5382782097564618,0.5545086186267889,0.8452047844555857
cluster,graph+center0,1CYO,cluster_1CYO,2,88,0.608381847070843,0.5598136686202423,0.7970249137389172
cluster,graph+center0,1DF4,cluster_1DF4,5,57,0.9034114608300955,0.8091781177080634,0.5569616284366198
cluster,graph+center0,1E5K,cluster_1E5K,3,188,0.7555259151554835,0.7489689897846721,0.6665632174219523
cluster,graph+center0,1ES5,cluster_1ES5,3,260,0.6509841772994898,0.7178062915579254,0.7648145225247801
cluster,graph+center0,1ETL,cluster_1ETL,3,12,0.7719209470463536,0.7657208370430366,0.7583434392234832
cluster,graph+center0,1ETM,cluster_1ETM,1,12,0.6308051648473,0.4405353735063205,0.8125526297157913
cluster,graph+center0,1ETN,cluster_1ETN,4,12,-0.14237565057386914,0.08130545444849886,1.227388002199712
cluster,graph+center0,1EW4,cluster_1EW4,2,106,0.6099724733101338,0.6485507430239699,0.7933657312623094
cluster,graph+center0,1F8R,cluster_1F8R,3,1932,0.777722143111556,0.7499338803202691,0.680160372866199
cluster,graph+center0,1FF4,cluster_1FF4,4,65,0.6115339391658813,0.6048580076629394,0.7927085196053398
cluster,graph+center0,1FK5,cluster_1FK5,2,93,0.5687436649951095,0.5425816439155776,0.8277234625492753
cluster,graph+center0,1GCO,cluster_1GCO,4,1044,0.6350606557690013,0.6172715399267136,0.7823454194688846
cluster,graph+center0,1GK7,cluster_1GK7,3,39,0.7997312029589951,0.5665266468108666,0.6218170167840812
cluster,graph+center0,1GVD,cluster_1GVD,3,52,0.690238821632988,0.6128791275861929,0.7300710904580799
cluster,graph+center0,1GXU,cluster_1GXU,1,88,0.6478193495290168,0.6231370391297574,0.7800508548642123
cluster,graph+center0,1H6V,cluster_1H6V,2,2927,0.4698968803631396,0.5423616710428275,0.9002685127466301
cluster,graph+center0,1HJE,cluster_1HJE,4,13,0.7265903255823639,0.6593406593406593,0.7474247231594279
cluster,graph+center0,1I71,cluster_1I71,3,83,0.5481015876109009,0.5612166186793434,0.8385875210460205
cluster,graph+center0,1IDP,cluster_1IDP,2,441,0.7268554820082954,0.8603287670015497,0.6959852263511493
cluster,graph+center0,1IFR,cluster_1IFR,3,113,0.6419387644249921,0.7064537995511533,0.7858212992784447
cluster,graph+center0,1K8U,cluster_1K8U,2,89,0.5080075544764526,0.4039428155587128,0.8707735777318987
cluster,graph+center0,1KMM,cluster_1KMM,4,1499,0.7172840635051101,0.7439767517332131,0.7030968536059522
cluster,graph+center0,1KNG,cluster_1KNG,1,144,0.5307711076638308,0.4949611865767131,0.8539125328585034
cluster,graph+center0,1KR4,cluster_1KR4,3,110,0.6135587177940118,0.5677961517479629,0.7917119499236733
cluster,graph+center0,1KYC,cluster_1KYC,5,15,0.7599998791759504,0.8178571428571428,0.7031323138462539
cluster,graph+center0,1LR7,cluster_1LR7,1,73,0.5931982243514531,0.6522788803637231,0.8288381220222479
cluster,graph+center0,1MF7,cluster_1MF7,2,194,0.6718992921270205,0.7529312183369067,0.7609941721357837
cluster,graph+center0,1N7E,cluster_1N7E,5,95,0.5945380892365324,0.6675462018796121,0.8058685140085728
cluster,graph+center0,1NKD,cluster_1NKD,1,59,0.6857206767815763,0.7392308154540631,0.7818928221160046
cluster,graph+center0,1NKO,cluster_1NKO,1,122,0.49377206351024555,0.7057499789579551,0.8910837173372369
cluster,graph+center0,1NLS,cluster_1NLS,5,237,0.5327244645809711,0.7444423135155603,0.8556994464491842
cluster,graph+center0,1NNX,cluster_1NNX,2,93,0.7334321267941307,0.8047850674565282,0.6930211071992463
cluster,graph+center0,1NOA,cluster_1NOA,4,113,0.5812200720954942,0.5300402144627163,0.8156981746519298
cluster,graph+center0,1NOT,cluster_1NOT,3,13,0.5722968896978488,0.5934065934065934,0.8538916401795675
cluster,graph+center0,1O06,cluster_1O06,1,20,0.9189386573112537,0.7428571428571428,0.41894554783274857
cluster,graph+center0,1O08,cluster_1O08,5,221,0.3506332516162064,0.624502303547987,0.9635470036390591
cluster,graph+center0,1OB4,cluster_1OB4,1,16,0.4948089544609685,0.4558823529411765,0.9265731700722609
cluster,graph+center0,1OB7,cluster_1OB7,4,16,0.5661766257666947,0.8682857391152589,0.8424548004508593
cluster,graph+center0,1OPD,cluster_1OPD,2,85,0.44140238620055766,0.44737369247012576,0.9068180513388596
cluster,graph+center0,1P9I,cluster_1P9I,2,29,0.6822566067843668,0.4665024630541871,0.7447514321304578
cluster,graph+center0,1PEF,cluster_1PEF,5,18,0.8662911165432666,0.8513931888544891,0.5466432840191812
cluster,graph+center0,1PEN,cluster_1PEN,5,16,0.49973549322999816,0.5253864557019448,0.8706779680268255
cluster,graph+center0,1PMY,cluster_1PMY,4,123,0.6813935895480973,0.5820290079509147,0.7585379359143102
cluster,graph+center0,1PZ4,cluster_1PZ4,2,113,0.706839668040532,0.7042250007138441,0.7231157559456348
cluster,graph+center0,1Q9B,cluster_1Q9B,2,43,0.75220653971982,0.7502265176683781,0.6823199553456766
cluster,graph+center0,1QAU,cluster_1QAU,3,112,0.6316463291115041,0.6184233287398297,0.7794884033505419
cluster,graph+center0,1QKI,cluster_1QKI,1,3912,0.5155616810433711,0.5789775283223844,0.9189765576599604
cluster,graph+center0,1QTO,cluster_1QTO,2,122,0.6092210356354061,0.6111195558819963,0.794300455791569
cluster,graph+center0,1R29,cluster_1R29,5,122,0.6031785005875372,0.5668985868539236,0.799936227004776
cluster,graph+center0,1R7J,cluster_1R7J,1,90,0.7877381607926791,0.6131639818747863,0.642389629467032
cluster,graph+center0,1RJU,cluster_1RJU,4,36,0.3312871455652824,0.1341055341055341,0.9472035690573279
cluster,graph+center0,1RRO,cluster_1RRO,5,108,0.2913495632327905,0.2041323791334715,0.9707882587997101
cluster,graph+center0,1SAU,cluster_1SAU,1,114,0.6318021803109903,0.6438396113106366,0.793701217345344
cluster,graph+center0,1TGR,cluster_1TGR,1,104,0.7048925919323404,0.6481968009126823,0.7220288156045885
cluster,graph+center0,1TZV,cluster_1TZV,4,141,0.79818295470185,0.7523623298900178,0.6288630876066676
cluster,graph+center0,1U06,cluster_1U06,2,55,0.48724562765186963,0.26418225441264526,0.8797791882809907
cluster,graph+center0,1U7I,cluster_1U7I,3,267,0.7422295870840777,0.7751107712304974,0.6843342895594875
cluster,graph+center0,1U9C,cluster_1U9C,1,221,0.5617010383446887,0.40750546993337694,0.8378159920566471
cluster,graph+center0,1UHA,cluster_1UHA,1,82,0.6443974579125509,0.6907563209768959,0.766048243927853
cluster,graph+center0,1UKU,cluster_1KR4,3,102,0.6822397821688203,0.5116482895190646,0.7382478950654325
cluster,graph+center0,1ULR,cluster_1ULR,4,87,0.5771684401043753,0.6241154787819551,0.8371027172202161
cluster,graph+center0,1UOY,cluster_1UOY,5,64,0.6704361870139971,0.6106068064365985,0.7585108447136811
cluster,graph+center0,1USE,cluster_1USE,3,40,0.1342391696415295,-0.22420262664165103,1.1444274687102223
cluster,graph+center0,1USM,cluster_1USM,5,77,0.8199632677815248,0.7344151533832405,0.6077134729181467
cluster,graph+center0,1UTG,cluster_1UTG,4,70,0.6171278193395185,0.5270976038833827,0.8057701084211297
cluster,graph+center0,1V05,cluster_1V05,4,96,0.6022715165496539,0.5589875066643788,0.814418924617332
cluster,graph+center0,1V70,cluster_1V70,4,105,0.5412483076495745,0.6226855212933196,0.8454208569280403
cluster,graph+center0,1VRZ,cluster_1VRZ,3,21,0.6970008403036319,0.7238468064768864,0.7532096533875356
cluster,graph+center0,1W2L,cluster_1W2L,4,97,0.5873800295115703,0.4424142805579039,0.8125815759468039
cluster,graph+center0,1WBE,cluster_1WBE,3,204,0.5556628778145504,0.6049935649330358,0.8321494173498453
cluster,graph+center0,1WHI,cluster_1WHI,1,122,0.529500398489495,0.6226775780234888,0.8536878733747214
cluster,graph+center0,1WLY,cluster_1WLY,5,322,0.6806186685920954,0.7090131438082768,0.7413683366208236
cluster,graph+center0,1WPA,cluster_1WPA,2,107,0.5808182756376131,0.3413754846486858,0.8186767464209341
cluster,graph+center0,1X3O,cluster_1X3O,3,80,0.5335711777014627,0.572495150590882,0.8493219386084757
cluster,graph+center0,1XY1,cluster_1XY1,3,16,0.658313305300367,0.5602238198962323,1.1211829418501333
cluster,graph+center0,1XY2,cluster_1XY2,3,8,0.6583478457732825,0.424312564347763,0.864497412950522
cluster,graph+center0,1Y6X,cluster_1Y6X,5,87,0.5054153839763486,0.5269033266408791,0.8710789452250229
cluster,graph+center0,1YJO,cluster_1YJO,5,6,0.39338256914449443,0.2571428571428572,1.0259195081460157
cluster,graph+center0,1YZM,cluster_1YZM,5,46,0.7827930480538337,0.6546194659051967,0.7516410462732454
cluster,graph+center0,1Z21,cluster_1Z21,3,96,0.6361276415646872,0.6369910166263252,0.7738661027802911
